NAME,TEAM,G,PA,AB,RBI,R,H,1B,2B,3B,HR,TB,GIDP,AVG,SAC,SF,BB,IBB,HBP,SO,SB,CS,SB%,OBP,SLG,TA,SSA
±i¥¿°¶,´I¨¹,32,126,108,14,17,34,26,6,0,2,46,4,0.315,1,1,14,0,2,15,2,2,0.5,0.4,0.426,0.8,471
ªL¯q¥þ,´I¨¹,30,121,108,14,9,31,27,3,0,1,37,5,0.287,0,4,8,0,1,13,0,0,0,0.331,0.343,0.561,414
ªL«É¿o,´I¨¹,28,67,59,5,5,18,14,3,0,1,24,1,0.305,2,1,5,0,0,11,0,1,0,0.354,0.407,0.674,374
¤_©sØP,´I¨¹,25,64,52,6,9,12,9,3,0,0,15,2,0.231,3,1,7,0,1,10,0,0,0,0.328,0.288,0.548,276
³¯³Í­Û,´I¨¹,26,57,50,6,12,15,12,3,0,0,18,0,0.3,3,0,3,0,1,10,0,1,0,0.352,0.36,0.611,348
­S°ê®f,´I¨¹,20,67,59,6,8,10,8,1,0,1,14,0,0.169,0,0,6,0,2,8,0,0,0,0.269,0.237,0.449,233
§õ©v½å,´I¨¹,18,35,33,3,6,8,7,1,0,0,9,0,0.242,0,0,2,0,0,9,1,0,1,0.286,0.273,0.48,266
°ª°ê½÷,´I¨¹,22,86,69,15,5,14,9,3,0,2,23,3,0.203,0,1,15,0,1,15,1,0,1,0.349,0.333,0.69,341
¤è§J°¶,´I¨¹,22,50,44,4,4,8,8,0,0,0,8,1,0.182,0,2,4,0,0,10,0,1,0,0.24,0.182,0.316,210
°ª°êÅï,´I¨¹,20,50,42,6,10,15,10,3,1,1,23,1,0.357,1,0,6,0,1,10,0,0,0,0.449,0.548,1.071,430
°ª§µ»ö,´I¨¹,22,69,59,12,11,17,14,2,0,1,22,4,0.288,6,1,2,0,1,6,1,0,1,0.317,0.373,0.565,390
¥ÓµqÞ³,´I¨¹,13,47,43,9,10,13,8,3,0,2,22,0,0.302,0,0,3,0,1,13,0,1,0,0.362,0.512,0.839,409
¤ý¥¿´Å,´I¨¹,12,50,45,3,9,17,16,1,0,0,18,1,0.378,0,1,3,0,1,6,0,1,0,0.42,0.4,0.733,411
½²¤Í¹F,´I¨¹,10,25,24,1,2,6,4,2,0,0,8,1,0.25,1,0,0,0,0,8,0,0,0,0.25,0.333,0.421,263
ªL«Â§Ê,´I¨¹,5,3,3,0,1,2,2,0,0,0,2,0,0.667,0,0,0,0,0,0,0,0,0,0.667,0.667,2,669
§d©v®m,´I¨¹,9,15,14,1,3,4,3,1,0,0,5,0,0.286,0,0,0,1,0,3,0,0,0,0.333,0.357,0.6,296
¥Ûµ¾¦t,´I¨¹,6,16,13,0,1,3,3,0,0,0,3,0,0.231,2,0,1,0,0,4,0,1,0,0.286,0.231,0.364,234
³¯«~±¶,´I¨¹,38,170,143,19,30,40,27,8,2,3,61,3,0.28,8,2,15,2,0,22,3,0,1,0.352,0.427,0.764,496
½±´¼½å,´I¨¹,37,158,149,37,25,51,33,7,2,9,89,3,0.342,0,2,7,0,0,19,2,1,0.667,0.367,0.597,0.961,796
ªL­õÞ±,´I¨¹,36,148,133,15,20,36,28,3,2,3,52,5,0.271,0,2,12,1,0,22,7,2,0.778,0.331,0.391,0.692,458
­Jª÷Às,´I¨¹,33,143,131,28,21,60,47,10,1,2,78,1,0.458,2,0,10,0,0,10,2,2,0.5,0.496,0.595,1.216,716
±i·çÅï,´I¨¹,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ªL©ô½Ã,´I¨¹,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
±i«Ø»Ê,´I¨¹,4,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0.2,0,0.25,0
ªLÞ³®¦,´I¨¹,4,15,12,2,0,4,4,0,0,0,4,0,0.333,1,1,1,0,0,4,0,0,0,0.357,0.333,0.625,347
ªL§Ó¬v,´I¨¹,2,5,5,1,2,2,2,0,0,0,2,0,0.4,0,0,0,0,0,0,0,0,0,0.4,0.4,0.667,407
³¯¶Ô©v,´I¨¹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
