NAME,TEAM,G,PA,AB,RBI,R,H,1B,2B,3B,HR,TB,GIDP,AVG,SAC,SF,BB,IBB,HBP,SO,SB,CS,SB%,OBP,SLG,TA,SSA
±i¥¿°¶,´I¨¹,31,134,120,8,20,37,30,7,0,0,44,0,0.308,0,1,12,0,1,16,9,0,1,0.373,0.367,0.795,392
ªL¯q¥þ,´I¨¹,32,131,120,25,21,42,21,16,0,5,73,1,0.35,0,1,8,2,0,21,0,1,0,0.397,0.608,1.038,648
ªL«É¿o,´I¨¹,25,70,62,5,5,14,10,4,0,0,18,5,0.226,0,2,6,0,0,11,2,0,1,0.286,0.29,0.491,269
¤_©sØP,´I¨¹,26,78,69,6,7,18,14,4,0,0,22,1,0.261,3,2,3,0,1,12,1,2,0.333,0.293,0.319,0.5,313
³¯³Í­Û,´I¨¹,21,39,31,2,7,7,5,0,1,1,12,0,0.226,3,0,5,0,0,7,1,2,0.333,0.333,0.387,0.692,268
­S°ê®f,´I¨¹,23,82,79,11,12,28,22,5,1,0,35,2,0.354,0,3,0,0,0,16,1,1,0.5,0.341,0.443,0.667,444
§õ©v½å,´I¨¹,25,58,50,3,8,14,12,2,0,0,16,3,0.28,1,1,6,0,0,10,7,0,1,0.351,0.32,0.744,311
°ª°ê½÷,´I¨¹,21,87,70,11,9,17,9,5,0,3,31,5,0.243,0,1,16,0,0,20,1,1,0.5,0.379,0.443,0.814,389
¤è§J°¶,´I¨¹,21,52,46,5,4,7,4,1,0,2,14,0,0.152,2,0,3,0,1,10,0,0,0,0.22,0.304,0.462,231
°ª°êÅï,´I¨¹,18,44,38,5,4,5,2,1,1,1,11,1,0.132,0,1,5,0,0,16,0,0,0,0.227,0.289,0.471,188
°ª§µ»ö,´I¨¹,16,35,31,1,5,5,3,2,0,0,7,2,0.161,1,0,1,0,2,5,2,0,1,0.235,0.226,0.429,173
¥ÓµqÞ³,´I¨¹,16,57,53,2,11,14,12,1,1,0,17,1,0.264,0,0,4,0,0,14,0,1,0,0.316,0.321,0.512,291
¤ý¥¿´Å,´I¨¹,10,44,34,5,11,11,6,4,1,0,17,0,0.324,3,0,7,0,0,7,0,2,0,0.439,0.5,0.96,366
½²¤Í¹F,´I¨¹,7,26,21,2,1,6,4,2,0,0,8,0,0.286,3,2,0,0,0,8,1,0,1,0.261,0.381,0.6,304
ªL«Â§Ê,´I¨¹,7,20,20,0,3,5,4,1,0,0,6,1,0.25,0,0,0,0,0,3,1,0,1,0.25,0.3,0.438,256
§d©v®m,´I¨¹,4,13,11,0,1,1,1,0,0,0,1,0,0.091,1,0,0,0,1,7,0,0,0,0.167,0.091,0.2,92
¥Ûµ¾¦t,´I¨¹,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,1,5
³¯«~±¶,´I¨¹,34,145,124,15,23,37,28,4,3,2,53,1,0.298,1,2,17,0,1,21,3,0,1,0.382,0.427,0.841,466
½±´¼½å,´I¨¹,38,164,152,34,13,50,31,14,0,5,79,3,0.329,0,4,6,1,1,33,0,0,0,0.354,0.52,0.829,678
ªL­õÞ±,´I¨¹,33,139,123,17,15,29,19,8,0,2,43,2,0.236,1,1,10,0,4,21,7,1,0.875,0.312,0.35,0.66,404
­Jª÷Às,´I¨¹,33,134,123,20,19,39,28,8,0,3,56,4,0.317,2,1,8,0,0,13,1,0,1,0.356,0.455,0.739,533
±i·çÅï,´I¨¹,4,9,9,2,2,2,1,0,0,1,5,0,0.222,4,9,9,2,2,2,1,0,0,1,5,0,0.222
ªL©ô½Ã,´I¨¹,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.5,0,1,0
±i«Ø»Ê,´I¨¹,3,6,5,0,0,1,1,0,0,0,1,0,0.2,0,0,1,0,0,3,0,0,0,0.333,0.2,0.5,201
ªLÞ³®¦,´I¨¹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ªL§Ó¬v,´I¨¹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
³¯¶Ô©v,´I¨¹,2,3,3,0,0,1,1,0,0,0,1,0,0.333,0,0,0,0,0,0,0,0,0,0.333,0.333,0.5,334
