NAME,TEAM,GS,GR,CG,SHO,W,L,SV,BS,HLD,IP,WHIP,ERA,BF,NP,H,HR,BB,IBB,HBP,SO,WP,BK,R,ER
¿àÂE¸Û,´I¨¹,0,22,0,0,1,1,0,0,7,18,1.22,2,74,270,16,1,6,0,0,11,2,0,5,4
­ÙºÖ¼w,´I¨¹,0,14,0,0,0,0,8,0,1,13.1,1.27,4.05,56,232,14,2,3,0,0,21,0,0,6,6
±i¯Õ»¨,´I¨¹,0,17,0,0,0,1,1,0,3,15.1,1.3,4.11,69,269,19,3,1,2,2,14,0,0,8,7
ªL±á¾ì,´I¨¹,0,12,0,0,0,1,0,0,3,10,1.9,6.3,47,163,16,1,3,0,0,4,1,0,9,7
³¢ªl§Ó,´I¨¹,0,12,0,0,2,1,0,2,2,11,1.09,2.45,44,182,8,1,4,0,0,16,1,0,5,3
¥îÅM,´I¨¹,12,1,1,0,7,3,0,0,0,79,0.96,2.28,312,1141,68,5,8,1,2,60,3,0,31,20
Ã¹¤O,´I¨¹,5,0,0,0,2,1,0,0,0,31.1,1.31,2.3,131,478,36,1,5,1,2,25,2,0,9,8
³¯ÂE¤å,´I¨¹,3,5,0,0,3,1,1,0,1,23.1,1.16,3.47,99,391,18,2,9,0,1,24,1,0,10,9
ªL·Ô²M,´I¨¹,2,3,0,0,1,0,0,0,1,12.1,1.05,2.19,51,189,10,0,3,0,0,8,2,0,4,3
Ã¹¹Å¤¯,´I¨¹,0,5,0,0,1,0,0,0,0,4,2.25,2.25,19,83,5,0,4,0,1,1,0,0,1,1
ªL¬ý»¨,´I¨¹,0,7,0,0,0,0,1,0,1,5.2,1.94,11.12,28,124,8,2,3,0,1,4,1,0,8,7
¶À¥ç§Ó,´I¨¹,2,4,0,0,1,2,1,0,0,17.2,1.53,5.6,76,277,22,0,5,0,1,10,0,0,11,11
¥¬¾|´µ,´I¨¹,8,0,0,0,2,2,0,0,0,43.1,1.52,4.98,195,769,52,1,14,0,3,44,0,0,27,24
Ã¹°êµØ,´I¨¹,0,4,0,0,1,0,0,0,0,4.1,2.08,6.23,22,75,8,0,1,0,0,5,0,0,3,3
³¯©ú°a,´I¨¹,0,4,0,0,0,0,0,0,0,4,1.5,0,18,61,4,0,2,0,0,2,1,0,0,0
Ã¹µØ­³,´I¨¹,0,5,0,0,0,0,0,0,0,2.2,5.62,23.62,23,90,12,0,3,0,1,5,0,0,7,7
±iµ¤Às,´I¨¹,0,4,0,0,0,0,0,0,0,3.2,1.09,0,16,67,1,0,3,0,1,3,0,0,0,0
½²©ú®Ê,´I¨¹,0,2,0,0,0,0,0,0,0,5.1,2.06,8.44,25,83,8,0,3,0,0,3,1,0,5,5
­S¥É¬ê,´I¨¹,0,1,0,0,0,0,0,0,0,1,0,0,3,9,0,0,0,0,0,0,0,0,0,0
³¯¥KªB,´I¨¹,2,0,0,0,0,1,0,0,0,8.1,1.68,6.48,38,139,12,3,2,0,0,6,1,0,8,6
´^¥@ªN,´I¨¹,0,2,0,0,0,0,0,0,0,2,1,9,8,30,1,1,1,0,0,3,0,0,2,2
³ìµn,´I¨¹,3,0,0,0,1,2,0,0,0,17.1,1.44,6.23,74,286,23,1,2,0,0,13,0,0,12,12
ªL§JÁ¾,´I¨¹,0,2,0,0,0,0,0,0,0,1.2,2.4,0,11,41,3,0,1,0,0,1,0,0,3,0
§d¥@»¨,´I¨¹,2,0,0,0,1,0,0,0,0,11,1.09,0,43,180,6,0,6,0,0,9,0,0,1,0
ªL¬F½å,´I¨¹,1,0,0,0,0,1,0,0,0,3,2,15,16,68,4,1,2,0,0,4,0,0,5,5
¼Ú®Ñ¸Û,´I¨¹,0,1,0,0,0,0,0,0,0,2.2,1.5,3.38,10,39,3,0,1,0,0,0,0,0,1,1
³¯³Í­Û,´I¨¹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
¶À³Ó¶¯,´I¨¹,,,,,,,,,,,,,,,,,,,,,,,,
