NAME,TEAM,GS,GR,CG,SHO,W,L,SV,BS,HLD,IP,WHIP,ERA,BF,NP,H,HR,BB,IBB,HBP,SO,WP,BK,R,ER
¿àÂE¸Û,´I¨¹,0,21,0,0,1,1,0,0,7,18.2,1.39,5.3,86,322,21,2,5,2,0,7,1,0,13,11
­ÙºÖ¼w,´I¨¹,0,14,0,0,1,1,2,0,5,13.1,1.12,3.38,53,211,14,1,1,0,0,8,0,0,5,5
±i¯Õ»¨,´I¨¹,0,9,0,0,1,1,0,1,1,8.2,1.5,3.12,41,137,9,1,4,3,1,4,1,0,4,3
ªL±á¾ì,´I¨¹,0,14,0,0,0,1,0,2,0,15.2,0.96,5.17,64,220,13,1,2,0,3,8,1,0,10,9
³¢ªl§Ó,´I¨¹,0,12,0,0,1,0,0,2,3,11.2,1.11,2.31,48,199,7,0,6,0,1,11,1,0,4,3
¥îÅM,´I¨¹,7,0,0,0,4,2,0,0,0,42.1,1.49,3.83,178,656,57,2,6,0,1,27,1,0,22,18
Ã¹¤O,´I¨¹,10,0,0,0,3,3,0,0,0,61.1,1.24,3.52,255,990,73,4,3,0,0,57,4,0,28,24
³¯ÂE¤å,´I¨¹,2,5,0,0,0,1,0,0,2,14.2,1.57,3.07,67,248,14,4,9,0,0,9,0,0,10,5
ªL·Ô²M,´I¨¹,2,5,0,0,0,1,0,1,0,15.1,1.63,4.11,69,280,18,1,7,0,0,10,1,0,10,7
Ã¹¹Å¤¯,´I¨¹,0,13,0,0,2,1,0,4,0,11,2,9,59,190,17,1,5,2,1,4,2,0,13,11
ªL¬ý»¨,´I¨¹,0,7,0,0,1,1,2,0,0,6,1,1.5,22,96,4,0,2,0,0,7,0,0,1,1
¶À¥ç§Ó,´I¨¹,5,5,0,0,1,3,0,0,1,29,1.97,6.83,145,529,43,4,14,0,2,11,3,0,27,22
¥¬¾|´µ,´I¨¹,6,0,0,0,0,3,0,0,0,30.1,1.78,6.53,138,514,44,5,10,0,1,20,2,0,26,22
Ã¹°êµØ,´I¨¹,0,7,0,0,1,1,0,0,1,6.1,1.1,5.68,25,117,5,2,2,0,1,4,0,0,4,4
³¯©ú°a,´I¨¹,0,4,0,0,0,0,0,0,0,4.1,2.31,6.23,23,94,6,1,4,0,0,3,0,0,4,3
Ã¹µØ­³,´I¨¹,0,2,0,0,0,0,0,0,0,1.1,0.75,6.75,5,21,0,0,1,0,0,1,0,0,1,1
±iµ¤Às,´I¨¹,0,6,0,0,0,0,0,0,1,5.2,2.29,11.12,30,129,8,1,5,0,0,7,1,0,7,7
½²©ú®Ê,´I¨¹,1,3,0,0,0,1,0,0,0,8,2.62,12.38,44,174,15,2,6,0,0,7,1,0,11,11
­S¥É¬ê,´I¨¹,0,3,0,0,0,0,0,0,0,3.1,2.4,10.8,19,67,5,0,3,0,0,2,0,0,6,4
³¯¥KªB,´I¨¹,3,0,0,0,0,1,0,0,0,12,1.83,7.5,58,217,18,0,4,0,1,3,1,0,12,10
´^¥@ªN,´I¨¹,0,4,0,0,0,0,0,0,0,7.1,1.09,4.91,29,120,4,1,4,0,0,6,0,0,4,4
³ìµn,´I¨¹,1,1,0,0,1,1,0,0,0,10.2,1.59,2.53,46,145,15,1,2,0,0,8,0,0,6,3
ªL§JÁ¾,´I¨¹,0,2,0,0,0,0,0,0,0,1.1,1.5,0,6,31,2,0,0,0,0,0,1,0,0,0
§d¥@»¨,´I¨¹,2,1,0,0,0,0,0,0,0,11,1.18,3.27,42,188,11,2,2,0,0,8,1,0,4,4
ªL¬F½å,´I¨¹,1,0,0,0,0,0,0,0,0,3,2,3,16,61,5,0,1,0,0,0,0,0,1,1
¼Ú®Ñ¸Û,´I¨¹,0,3,0,0,0,0,0,1,0,1.2,3.6,5.4,11,48,3,0,3,0,0,2,0,0,1,1
³¯³Í­Û,´I¨¹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
¶À³Ó¶¯,´I¨¹,0,1,0,0,0,0,0,0,0,0,0,0,4,8,2,0,0,0,1,0,0,0,4,3
