NAME,TEAM,GS,GR,CG,SHO,W,L,SV,BS,HLD,IP,WHIP,ERA,BF,NP,H,HR,BB,IBB,HBP,SO,WP,BK,R,ER
¿àÂE¸Û,´I¨¹,0,20,0,0,0,2,0,1,5,19.1,1.4,3.26,88,346,21,2,6,0,1,22,2,0,10,7
­ÙºÖ¼w,´I¨¹,0,16,0,0,0,0,3,0,3,15.1,0.91,1.76,59,224,11,0,3,1,0,18,0,0,3,3
±i¯Õ»¨,´I¨¹,0,16,0,0,0,1,0,1,3,12.1,2.19,8.03,65,243,25,3,2,1,1,9,2,0,13,11
ªL±á¾ì,´I¨¹,0,15,0,0,1,1,1,1,2,17.1,1.15,6.23,72,283,16,4,4,0,1,10,0,0,13,12
³¢ªl§Ó,´I¨¹,0,13,0,0,1,1,0,1,6,11.1,1.76,6.35,54,233,10,2,10,0,0,17,1,0,8,8
¥îÅM,´I¨¹,8,0,0,0,3,5,0,0,0,47.2,1.39,4.34,206,776,55,2,11,0,1,39,2,0,26,23
Ã¹¤O,´I¨¹,11,0,0,0,5,4,0,0,0,68.1,1.11,3.95,278,995,68,10,8,1,1,75,2,0,36,30
³¯ÂE¤å,´I¨¹,2,7,0,0,0,2,0,0,1,12.2,2.45,8.53,70,273,22,4,9,1,0,15,1,0,14,12
ªL·Ô²M,´I¨¹,1,11,0,0,0,1,0,1,1,13.1,2.33,9.45,71,277,22,0,9,0,2,9,0,0,16,14
Ã¹¹Å¤¯,´I¨¹,0,5,0,0,0,0,0,0,0,3.1,2.7,13.5,18,68,7,0,2,0,0,0,0,0,5,5
ªL¬ý»¨,´I¨¹,0,8,0,0,0,0,2,0,1,8.1,0.72,1.08,31,130,4,0,2,0,0,6,0,0,1,1
¶À¥ç§Ó,´I¨¹,4,2,0,0,2,0,0,0,0,29.2,1.62,4.55,132,470,41,1,7,0,1,15,2,0,15,15
¥¬¾|´µ,´I¨¹,6,0,0,0,0,4,0,0,0,28.2,1.6,5.97,133,525,30,4,16,0,5,26,0,0,21,19
Ã¹°êµØ,´I¨¹,0,3,0,0,0,0,0,0,0,2.1,1.29,3.86,11,41,2,0,1,0,0,3,0,0,4,1
³¯©ú°a,´I¨¹,0,4,0,0,0,1,0,0,0,4.2,1.07,7.71,21,83,4,0,1,0,1,4,0,0,4,4
Ã¹µØ­³,´I¨¹,0,4,0,0,0,0,0,0,1,3.2,1.09,0,17,80,1,0,3,0,1,5,0,0,1,0
±iµ¤Às,´I¨¹,0,1,0,0,0,0,0,0,0,1.2,0,0,5,23,0,0,0,0,0,0,0,0,0,0
½²©ú®Ê,´I¨¹,2,2,0,0,2,0,0,0,0,12.2,1.18,2.84,54,187,13,3,2,1,0,5,0,0,6,4
­S¥É¬ê,´I¨¹,0,5,0,0,0,0,0,0,0,5.1,2.25,11.81,28,119,9,3,3,0,0,2,0,0,9,7
³¯¥KªB,´I¨¹,1,1,0,0,0,0,0,1,0,7,1.86,7.71,33,120,8,1,5,0,1,4,1,0,7,6
´^¥@ªN,´I¨¹,0,1,0,0,0,0,0,0,0,1.1,3,6.75,8,30,2,0,2,0,0,0,0,0,1,1
³ìµn,´I¨¹,2,0,0,0,0,2,0,0,0,9.2,2.07,9.31,49,183,17,1,3,0,0,10,2,0,11,10
ªL§JÁ¾,´I¨¹,0,2,0,0,0,0,0,1,0,3,3,18,17,55,8,2,1,0,0,1,1,0,6,6
§d¥@»¨,´I¨¹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ªL¬F½å,´I¨¹,3,0,0,0,0,2,0,0,0,10.1,2.03,5.23,53,219,13,0,8,0,2,10,0,0,8,6
¼Ú®Ñ¸Û,´I¨¹,0,1,0,0,0,0,0,0,0,1,1,0,3,17,0,0,1,0,0,1,0,0,0,0
³¯³Í­Û,´I¨¹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
¶À³Ó¶¯,´I¨¹,,,,,,,,,,,,,,,,,,,,,,,,
